year,country_id,country,running_final,place_final,points_final
1975,nl,Netherlands,1,1,152
1975,gb,United Kingdom,9,2,138
1975,it,Italy,19,3,115
1975,fr,France,3,4,91
1975,lu,Luxembourg,5,5,84
1975,ch,Switzerland,7,6,77
1975,fi,Finland,15,7,74
1975,se,Sweden,18,8,72
1975,ie,Ireland,2,9,68
1975,es,Spain,17,10,53
1975,il,Israel,12,11,40
1975,mt,Malta,10,12,32
1975,yu,Yugoslavia,8,13,22
1975,mc,Monaco,14,13,22
1975,be,Belgium,11,15,17
1975,pt,Portugal,16,16,16
1975,de,Germany,4,17,15
1975,no,Norway,6,18,11
1975,tr,Turkey,13,19,3
1976,gb,United Kingdom,1,1,164
1976,fr,France,17,2,147
1976,mc,Monaco,16,3,93
1976,ch,Switzerland,2,4,91
1976,at,Austria,14,5,80
1976,il,Israel,4,6,77
1976,it,Italy,13,7,69
1976,be,Belgium,6,8,68
1976,nl,Netherlands,8,9,56
1976,ie,Ireland,7,10,54
1976,fi,Finland,11,11,44
1976,pt,Portugal,15,12,24
1976,gr,Greece,10,13,20
1976,lu,Luxembourg,5,14,17
1976,de,Germany,3,15,12
1976,es,Spain,12,16,11
1976,yu,Yugoslavia,18,17,10
1976,no,Norway,9,18,7
1977,fr,France,18,1,136
1977,gb,United Kingdom,9,2,121
1977,ie,Ireland,1,3,119
1977,mc,Monaco,2,4,96
1977,gr,Greece,10,5,92
1977,ch,Switzerland,12,6,71
1977,be,Belgium,17,7,69
1977,de,Germany,6,8,55
1977,es,Spain,14,9,52
1977,fi,Finland,16,10,50
1977,il,Israel,11,11,49
1977,nl,Netherlands,3,12,35
1977,it,Italy,15,13,33
1977,no,Norway,5,14,18
1977,pt,Portugal,8,14,18
1977,lu,Luxembourg,7,16,17
1977,at,Austria,4,17,11
1977,se,Sweden,13,18,2
1978,il,Israel,18,1,157
1978,be,Belgium,10,2,125
1978,fr,France,6,3,119
1978,mc,Monaco,14,4,107
1978,ie,Ireland,1,5,86
1978,de,Germany,13,6,84
1978,lu,Luxembourg,17,7,73
1978,gr,Greece,15,8,66
1978,es,Spain,7,9,65
1978,ch,Switzerland,9,9,65
1978,gb,United Kingdom,8,11,61
1978,it,Italy,3,12,53
1978,nl,Netherlands,11,13,37
1978,se,Sweden,20,14,26
1978,at,Austria,19,15,14
1978,dk,Denmark,16,16,13
1978,pt,Portugal,5,17,5
1978,fi,Finland,4,18,2
1978,tr,Turkey,12,18,2
1978,no,Norway,2,20,0
1979,il,Israel,10,1,125
1979,es,Spain,19,2,116
1979,fr,France,11,3,106
1979,de,Germany,9,4,86
1979,ie,Ireland,4,5,80
1979,dk,Denmark,3,6,76
1979,gb,United Kingdom,17,7,73
1979,gr,Greece,7,8,69
1979,pt,Portugal,1,9,64
1979,ch,Switzerland,8,10,60
1979,no,Norway,16,11,57
1979,nl,Netherlands,14,12,51
1979,lu,Luxembourg,13,13,44
1979,fi,Finland,5,14,38
1979,it,Italy,2,15,27
1979,mc,Monaco,6,16,12
1979,se,Sweden,15,17,8
1979,be,Belgium,12,18,5
1979,at,Austria,18,18,5
1980,ie,Ireland,17,1,143
1980,de,Germany,12,2,128
1980,gb,United Kingdom,13,3,106
1980,ch,Switzerland,9,4,104
1980,nl,Netherlands,15,5,93
1980,it,Italy,6,6,87
1980,pt,Portugal,14,7,71
1980,at,Austria,1,8,64
1980,lu,Luxembourg,4,9,56
1980,se,Sweden,8,10,47
1980,fr,France,16,11,45
1980,es,Spain,18,12,38
1980,gr,Greece,3,13,30
1980,dk,Denmark,7,14,25
1980,tr,Turkey,2,15,23
1980,no,Norway,11,16,15
1980,be,Belgium,19,17,14
1980,ma,Marocco,5,18,7
1980,fi,Finland,10,19,6
1981,gb,United Kingdom,14,1,136
1981,de,Germany,3,2,132
1981,fr,France,9,3,125
1981,ch,Switzerland,19,4,121
1981,ie,Ireland,12,5,105
1981,cy,Cyprus,18,6,69
1981,il,Israel,5,7,56
1981,gr,Greece,17,8,55
1981,nl,Netherlands,11,9,51
1981,se,Sweden,20,10,50
1981,lu,Luxembourg,4,11,41
1981,dk,Denmark,6,11,41
1981,be,Belgium,16,13,40
1981,es,Spain,10,14,38
1981,yu,Yugoslavia,7,15,35
1981,fi,Finland,8,16,27
1981,at,Austria,1,17,20
1981,tr,Turkey,2,18,9
1981,pt,Portugal,15,18,9
1981,no,Norway,13,20,0
1982,de,Germany,18,1,161
1982,il,Israel,15,2,100
1982,ch,Switzerland,7,3,97
1982,be,Belgium,11,4,96
1982,cy,Cyprus,8,5,85
1982,lu,Luxembourg,2,6,78
1982,gb,United Kingdom,4,7,76
1982,se,Sweden,9,8,67
1982,at,Austria,10,9,57
1982,es,Spain,12,10,52
1982,ie,Ireland,17,11,49
1982,no,Norway,3,12,40
1982,pt,Portugal,1,13,32
1982,yu,Yugoslavia,14,14,21
1982,tr,Turkey,5,15,20
1982,nl,Netherlands,16,16,8
1982,dk,Denmark,13,17,5
1982,fi,Finland,6,18,0
