year,i,j,vote,vote_jury,vote_tele,n_part,quality,bias,imp_i,imp_j,running_final,place_final,song_order,english,french,duet,group,female,host,contig,language,diaspora,lag_vote_ij,lag_vote_ji,row_points_j,cohort,voter,receiver,total_j,period,friend_m1,friend_m2,fm1_x_imp,fm2_x_imp
1976,be,ch,7.0,,,18,5.25,1.75,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,8.0,0.0,,1,Belgium,Switzerland,91.0,1975-1997,1,0,1.0,0.0
1976,be,de,1.0,,,18,0.6875,0.3125,1.0,0.888888888888889,3.0,15.0,3.0,1.0,0.0,0.0,1.0,0.0,0,1,1,0,0.0,7.0,,1,Belgium,Germany,12.0,1975-1997,0,1,0.0,1.0
1976,be,es,0.0,,,18,0.6875,-0.6875,1.0,0.7222222222222222,12.0,16.0,12.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,4.0,0.0,,1,Belgium,Spain,11.0,1975-1997,0,0,0.0,0.0
1976,be,fi,0.0,,,18,2.75,-2.75,1.0,1.0,11.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,,1,Belgium,Finland,44.0,1975-1997,0,0,0.0,0.0
1976,be,fr,10.0,,,18,8.5625,1.4375,1.0,0.9444444444444444,17.0,2.0,17.0,0.0,1.0,0.0,0.0,1.0,0,1,1,4,2.0,0.0,,1,Belgium,France,147.0,1975-1997,0,0,0.0,0.0
1976,be,gb,12.0,,,18,9.5,2.5,1.0,0.9814814814814816,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,10.0,0.0,,1,Belgium,United Kingdom,164.0,1975-1997,1,0,1.0,0.0
1976,be,ie,0.0,,,18,3.375,-3.375,1.0,0.7916666666666666,7.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,12.0,0.0,,1,Belgium,Ireland,54.0,1975-1997,1,0,1.0,0.0
1976,be,il,5.0,,,18,4.5,0.5,1.0,0.5833333333333334,4.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1.0,0.0,,1,Belgium,Israel,77.0,1975-1997,0,0,0.0,0.0
1976,be,it,0.0,,,18,4.3125,-4.3125,1.0,0.75,13.0,7.0,13.0,1.0,0.0,1.0,0.0,0.0,0,0,0,5,6.0,0.0,,1,Belgium,Italy,69.0,1975-1997,0,0,0.0,0.0
1976,be,lu,6.0,,,18,0.6875,5.3125,1.0,0.9965277777777778,5.0,14.0,5.0,0.0,1.0,0.0,0.0,0.0,0,1,1,0,0.0,0.0,,1,Belgium,Luxembourg,17.0,1975-1997,1,0,1.0,0.0
1976,be,mc,8.0,,,18,5.3125,2.6875,1.0,0.9444444444444444,16.0,3.0,16.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0,0.0,0.0,,1,Belgium,Monaco,93.0,1975-1997,0,0,0.0,0.0
1976,be,nl,4.0,,,18,3.25,0.75,1.0,1.0,8.0,9.0,8.0,1.0,0.0,0.0,0.0,1.0,1,1,1,3,3.0,5.0,,1,Belgium,Netherlands,56.0,1975-1997,0,0,0.0,0.0
1976,be,no,0.0,,,18,0.4375,-0.4375,1.0,1.0,9.0,18.0,9.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,,1,Belgium,Norway,7.0,1975-1997,0,1,0.0,1.0
