  1975: cumulative rows=342 (live=52, cached=0)
  1976: cumulative rows=648 (live=104, cached=0)
  1977: cumulative rows=954 (live=156, cached=0)
  1978: cumulative rows=1334 (live=208, cached=0)
  1979: cumulative rows=1676 (live=260, cached=0)
  1980: cumulative rows=2018 (live=312, cached=0)
  1981: cumulative rows=2398 (live=364, cached=0)
  1982: cumulative rows=2704 (live=416, cached=0)
  1983: cumulative rows=3084 (live=468, cached=0)
  1984: cumulative rows=3426 (live=520, cached=0)
  1985: cumulative rows=3768 (live=572, cached=0)
  1986: cumulative rows=4148 (live=624, cached=0)
  1987: cumulative rows=4610 (live=676, cached=0)
  1988: cumulative rows=5030 (live=728, cached=0)
  1989: cumulative rows=5492 (live=780, cached=0)
  1990: cumulative rows=5954 (live=832, cached=0)
  1991: cumulative rows=6416 (live=884, cached=0)
  1992: cumulative rows=6922 (live=936, cached=0)
  1993: cumulative rows=7522 (live=988, cached=0)
  1994: cumulative rows=8122 (live=1040, cached=0)
  1995: cumulative rows=8628 (live=1092, cached=0)
  1996: cumulative rows=9134 (live=1144, cached=0)
  1997: cumulative rows=9734 (live=1196, cached=0)
  1998: cumulative rows=10334 (live=1248, cached=0)
  1999: cumulative rows=10840 (live=1300, cached=0)
  2000: cumulative rows=11392 (live=1352, cached=0)
  2001: cumulative rows=11898 (live=1404, cached=0)
  2002: cumulative rows=12450 (live=1456, cached=0)
  2003: cumulative rows=13100 (live=1508, cached=0)
  2004: cumulative rows=13940 (live=1560, cached=0)
  2005: cumulative rows=14852 (live=1612, cached=0)
  2006: cumulative rows=15740 (live=1664, cached=0)
  2007: cumulative rows=16724 (live=1716, cached=0)
  2008: cumulative rows=17774 (live=1768, cached=0)
  2009: cumulative rows=18799 (live=1820, cached=0)
  2010: cumulative rows=19749 (live=1820, cached=52)
  2011: cumulative rows=20799 (live=1872, cached=52)
  2012: cumulative rows=21865 (live=1924, cached=52)
  2013: cumulative rows=22853 (live=1976, cached=52)
  2014: cumulative rows=23789 (live=2028, cached=52)
  2015: cumulative rows=24842 (live=2080, cached=52)
  2016: cumulative rows=25908 (live=2132, cached=52)
  2017: cumulative rows=26974 (live=2184, cached=52)
  2018: cumulative rows=28066 (live=2236, cached=52)
  2019: cumulative rows=29106 (live=2288, cached=52)
  2020: cumulative rows=29106 (live=2340, cached=52)
  2021: cumulative rows=30094 (live=2392, cached=52)
  2022: cumulative rows=31069 (live=2444, cached=52)
  2023: cumulative rows=32005 (live=2496, cached=52)
  2024: cumulative rows=32508 (live=2548, cached=52)
  2025: cumulative rows=33056 (live=2600, cached=52)
  2026: cumulative rows=33557 (live=2652, cached=52)

votes_eschome.csv written: 33,557 dyad rows, 1975-2026. (live requests=2652, cache hits=52, empty (did-not-vote)=1204)
