year,from,to,present_in
1957,at,at,bundled_only
1957,at,be,bundled_only
1957,at,ch,bundled_only
1957,at,de,bundled_only
1957,at,dk,bundled_only
1957,at,fr,bundled_only
1957,at,gb,bundled_only
1957,at,it,bundled_only
1957,at,lu,bundled_only
1957,at,nl,bundled_only
1957,be,at,bundled_only
1957,be,be,bundled_only
1957,be,ch,bundled_only
1957,be,de,bundled_only
1957,be,dk,bundled_only
1957,be,fr,bundled_only
1957,be,gb,bundled_only
1957,be,it,bundled_only
1957,be,lu,bundled_only
1957,be,nl,bundled_only
1957,ch,at,bundled_only
1957,ch,be,bundled_only
1957,ch,ch,bundled_only
1957,ch,de,bundled_only
1957,ch,dk,bundled_only
1957,ch,fr,bundled_only
1957,ch,gb,bundled_only
1957,ch,it,bundled_only
1957,ch,lu,bundled_only
1957,ch,nl,bundled_only
1957,de,at,bundled_only
1957,de,be,bundled_only
1957,de,ch,bundled_only
1957,de,de,bundled_only
1957,de,dk,bundled_only
1957,de,fr,bundled_only
1957,de,gb,bundled_only
1957,de,it,bundled_only
1957,de,lu,bundled_only
1957,de,nl,bundled_only
1957,dk,at,bundled_only
1957,dk,be,bundled_only
1957,dk,ch,bundled_only
1957,dk,de,bundled_only
1957,dk,dk,bundled_only
1957,dk,fr,bundled_only
1957,dk,gb,bundled_only
1957,dk,it,bundled_only
1957,dk,lu,bundled_only
1957,dk,nl,bundled_only
1957,fr,at,bundled_only
1957,fr,be,bundled_only
1957,fr,ch,bundled_only
1957,fr,de,bundled_only
1957,fr,dk,bundled_only
1957,fr,fr,bundled_only
1957,fr,gb,bundled_only
1957,fr,it,bundled_only
1957,fr,lu,bundled_only
1957,fr,nl,bundled_only
1957,gb,at,bundled_only
1957,gb,be,bundled_only
1957,gb,ch,bundled_only
1957,gb,de,bundled_only
1957,gb,dk,bundled_only
1957,gb,fr,bundled_only
1957,gb,gb,bundled_only
1957,gb,it,bundled_only
1957,gb,lu,bundled_only
1957,gb,nl,bundled_only
1957,it,at,bundled_only
1957,it,be,bundled_only
1957,it,ch,bundled_only
1957,it,de,bundled_only
1957,it,dk,bundled_only
1957,it,fr,bundled_only
1957,it,gb,bundled_only
1957,it,it,bundled_only
1957,it,lu,bundled_only
1957,it,nl,bundled_only
1957,lu,at,bundled_only
1957,lu,be,bundled_only
1957,lu,ch,bundled_only
1957,lu,de,bundled_only
1957,lu,dk,bundled_only
1957,lu,fr,bundled_only
1957,lu,gb,bundled_only
1957,lu,it,bundled_only
1957,lu,lu,bundled_only
1957,lu,nl,bundled_only
1957,nl,at,bundled_only
1957,nl,be,bundled_only
1957,nl,ch,bundled_only
1957,nl,de,bundled_only
1957,nl,dk,bundled_only
1957,nl,fr,bundled_only
1957,nl,gb,bundled_only
1957,nl,it,bundled_only
1957,nl,lu,bundled_only
1957,nl,nl,bundled_only
1958,at,at,bundled_only
1958,at,be,bundled_only
1958,at,ch,bundled_only
1958,at,de,bundled_only
1958,at,dk,bundled_only
1958,at,fr,bundled_only
1958,at,it,bundled_only
1958,at,lu,bundled_only
1958,at,nl,bundled_only
1958,at,se,bundled_only
1958,be,at,bundled_only
1958,be,be,bundled_only
1958,be,ch,bundled_only
1958,be,de,bundled_only
1958,be,dk,bundled_only
1958,be,fr,bundled_only
1958,be,it,bundled_only
1958,be,lu,bundled_only
1958,be,nl,bundled_only
1958,be,se,bundled_only
1958,ch,at,bundled_only
1958,ch,be,bundled_only
1958,ch,ch,bundled_only
1958,ch,de,bundled_only
1958,ch,dk,bundled_only
1958,ch,fr,bundled_only
1958,ch,it,bundled_only
1958,ch,lu,bundled_only
1958,ch,nl,bundled_only
1958,ch,se,bundled_only
1958,de,at,bundled_only
1958,de,be,bundled_only
1958,de,ch,bundled_only
1958,de,de,bundled_only
1958,de,dk,bundled_only
1958,de,fr,bundled_only
1958,de,it,bundled_only
1958,de,lu,bundled_only
1958,de,nl,bundled_only
1958,de,se,bundled_only
1958,dk,at,bundled_only
1958,dk,be,bundled_only
1958,dk,ch,bundled_only
1958,dk,de,bundled_only
1958,dk,dk,bundled_only
1958,dk,fr,bundled_only
1958,dk,it,bundled_only
1958,dk,lu,bundled_only
1958,dk,nl,bundled_only
1958,dk,se,bundled_only
1958,fr,at,bundled_only
1958,fr,be,bundled_only
1958,fr,ch,bundled_only
1958,fr,de,bundled_only
1958,fr,dk,bundled_only
1958,fr,fr,bundled_only
1958,fr,it,bundled_only
1958,fr,lu,bundled_only
1958,fr,nl,bundled_only
1958,fr,se,bundled_only
1958,it,at,bundled_only
1958,it,be,bundled_only
1958,it,ch,bundled_only
1958,it,de,bundled_only
1958,it,dk,bundled_only
1958,it,fr,bundled_only
1958,it,it,bundled_only
1958,it,lu,bundled_only
1958,it,nl,bundled_only
1958,it,se,bundled_only
1958,lu,at,bundled_only
1958,lu,be,bundled_only
1958,lu,ch,bundled_only
1958,lu,de,bundled_only
1958,lu,dk,bundled_only
1958,lu,fr,bundled_only
1958,lu,it,bundled_only
1958,lu,lu,bundled_only
1958,lu,nl,bundled_only
1958,lu,se,bundled_only
1958,nl,at,bundled_only
1958,nl,be,bundled_only
1958,nl,ch,bundled_only
1958,nl,de,bundled_only
1958,nl,dk,bundled_only
1958,nl,fr,bundled_only
1958,nl,it,bundled_only
1958,nl,lu,bundled_only
1958,nl,nl,bundled_only
1958,nl,se,bundled_only
1958,se,at,bundled_only
1958,se,be,bundled_only
1958,se,ch,bundled_only
1958,se,de,bundled_only
1958,se,dk,bundled_only
1958,se,fr,bundled_only
1958,se,it,bundled_only
1958,se,lu,bundled_only
1958,se,nl,bundled_only
1958,se,se,bundled_only
1959,at,at,bundled_only
1959,at,be,bundled_only
1959,at,ch,bundled_only
1959,at,de,bundled_only
1959,at,dk,bundled_only
1959,at,fr,bundled_only
1959,at,gb,bundled_only
1959,at,it,bundled_only
1959,at,mc,bundled_only
1959,at,nl,bundled_only
1959,at,se,bundled_only
1959,be,at,bundled_only
1959,be,be,bundled_only
1959,be,ch,bundled_only
1959,be,de,bundled_only
1959,be,dk,bundled_only
1959,be,fr,bundled_only
1959,be,gb,bundled_only
1959,be,it,bundled_only
1959,be,mc,bundled_only
1959,be,nl,bundled_only
1959,be,se,bundled_only
1959,ch,at,bundled_only
1959,ch,be,bundled_only
1959,ch,ch,bundled_only
1959,ch,de,bundled_only
1959,ch,dk,bundled_only
1959,ch,fr,bundled_only
1959,ch,gb,bundled_only
1959,ch,it,bundled_only
1959,ch,mc,bundled_only
1959,ch,nl,bundled_only
1959,ch,se,bundled_only
1959,de,at,bundled_only
1959,de,be,bundled_only
1959,de,ch,bundled_only
1959,de,de,bundled_only
1959,de,dk,bundled_only
1959,de,fr,bundled_only
1959,de,gb,bundled_only
1959,de,it,bundled_only
1959,de,mc,bundled_only
1959,de,nl,bundled_only
1959,de,se,bundled_only
1959,dk,at,bundled_only
1959,dk,be,bundled_only
1959,dk,ch,bundled_only
1959,dk,de,bundled_only
1959,dk,dk,bundled_only
1959,dk,fr,bundled_only
1959,dk,gb,bundled_only
1959,dk,it,bundled_only
1959,dk,mc,bundled_only
1959,dk,nl,bundled_only
1959,dk,se,bundled_only
1959,fr,at,bundled_only
1959,fr,be,bundled_only
1959,fr,ch,bundled_only
1959,fr,de,bundled_only
1959,fr,dk,bundled_only
1959,fr,fr,bundled_only
1959,fr,gb,bundled_only
1959,fr,it,bundled_only
1959,fr,mc,bundled_only
1959,fr,nl,bundled_only
1959,fr,se,bundled_only
1959,gb,at,bundled_only
1959,gb,be,bundled_only
1959,gb,ch,bundled_only
1959,gb,de,bundled_only
1959,gb,dk,bundled_only
1959,gb,fr,bundled_only
1959,gb,gb,bundled_only
1959,gb,it,bundled_only
1959,gb,mc,bundled_only
1959,gb,nl,bundled_only
1959,gb,se,bundled_only
1959,it,at,bundled_only
1959,it,be,bundled_only
1959,it,ch,bundled_only
1959,it,de,bundled_only
1959,it,dk,bundled_only
1959,it,fr,bundled_only
1959,it,gb,bundled_only
1959,it,it,bundled_only
1959,it,mc,bundled_only
1959,it,nl,bundled_only
1959,it,se,bundled_only
1959,mc,at,bundled_only
1959,mc,be,bundled_only
1959,mc,ch,bundled_only
1959,mc,de,bundled_only
1959,mc,dk,bundled_only
1959,mc,fr,bundled_only
1959,mc,gb,bundled_only
1959,mc,it,bundled_only
1959,mc,mc,bundled_only
1959,mc,nl,bundled_only
1959,mc,se,bundled_only
1959,nl,at,bundled_only
1959,nl,be,bundled_only
1959,nl,ch,bundled_only
1959,nl,de,bundled_only
1959,nl,dk,bundled_only
1959,nl,fr,bundled_only
1959,nl,gb,bundled_only
1959,nl,it,bundled_only
1959,nl,mc,bundled_only
1959,nl,nl,bundled_only
1959,nl,se,bundled_only
1959,se,at,bundled_only
1959,se,be,bundled_only
1959,se,ch,bundled_only
1959,se,de,bundled_only
1959,se,dk,bundled_only
1959,se,fr,bundled_only
1959,se,gb,bundled_only
1959,se,it,bundled_only
1959,se,mc,bundled_only
1959,se,nl,bundled_only
1959,se,se,bundled_only
1960,at,at,bundled_only
1960,at,be,bundled_only
1960,at,ch,bundled_only
1960,at,de,bundled_only
1960,at,dk,bundled_only
1960,at,fr,bundled_only
1960,at,gb,bundled_only
1960,at,it,bundled_only
1960,at,lu,bundled_only
1960,at,mc,bundled_only
1960,at,nl,bundled_only
1960,at,no,bundled_only
1960,at,se,bundled_only
1960,be,at,bundled_only
1960,be,be,bundled_only
1960,be,ch,bundled_only
1960,be,de,bundled_only
1960,be,dk,bundled_only
1960,be,fr,bundled_only
1960,be,gb,bundled_only
1960,be,it,bundled_only
1960,be,lu,bundled_only
1960,be,mc,bundled_only
1960,be,nl,bundled_only
1960,be,no,bundled_only
1960,be,se,bundled_only
1960,ch,at,bundled_only
1960,ch,be,bundled_only
1960,ch,ch,bundled_only
1960,ch,de,bundled_only
1960,ch,dk,bundled_only
1960,ch,fr,bundled_only
1960,ch,gb,bundled_only
1960,ch,it,bundled_only
1960,ch,lu,bundled_only
1960,ch,mc,bundled_only
1960,ch,nl,bundled_only
1960,ch,no,bundled_only
1960,ch,se,bundled_only
1960,de,at,bundled_only
1960,de,be,bundled_only
1960,de,ch,bundled_only
1960,de,de,bundled_only
1960,de,dk,bundled_only
1960,de,fr,bundled_only
1960,de,gb,bundled_only
1960,de,it,bundled_only
1960,de,lu,bundled_only
1960,de,mc,bundled_only
1960,de,nl,bundled_only
1960,de,no,bundled_only
1960,de,se,bundled_only
1960,dk,at,bundled_only
1960,dk,be,bundled_only
1960,dk,ch,bundled_only
1960,dk,de,bundled_only
1960,dk,dk,bundled_only
1960,dk,fr,bundled_only
1960,dk,gb,bundled_only
1960,dk,it,bundled_only
1960,dk,lu,bundled_only
1960,dk,mc,bundled_only
1960,dk,nl,bundled_only
1960,dk,no,bundled_only
1960,dk,se,bundled_only
1960,fr,at,bundled_only
1960,fr,be,bundled_only
1960,fr,ch,bundled_only
1960,fr,de,bundled_only
1960,fr,dk,bundled_only
1960,fr,fr,bundled_only
1960,fr,gb,bundled_only
1960,fr,it,bundled_only
1960,fr,lu,bundled_only
1960,fr,mc,bundled_only
1960,fr,nl,bundled_only
1960,fr,no,bundled_only
1960,fr,se,bundled_only
1960,gb,at,bundled_only
1960,gb,be,bundled_only
1960,gb,ch,bundled_only
1960,gb,de,bundled_only
1960,gb,dk,bundled_only
1960,gb,fr,bundled_only
