"period","i","j","friend_m1"
"1975-1997","at","ee",1
"1975-1997","at","fr",1
"1975-1997","at","ie",1
"1975-1997","at","pl",1
"1975-1997","ee","at",1
"1975-1997","ee","fr",1
"1975-1997","ee","ie",1
"1975-1997","ee","pl",1
"1975-1997","fr","at",1
"1975-1997","fr","ee",1
"1975-1997","fr","ie",1
"1975-1997","fr","pl",1
"1975-1997","ie","at",1
"1975-1997","ie","ee",1
"1975-1997","ie","fr",1
"1975-1997","ie","pl",1
"1975-1997","pl","at",1
"1975-1997","pl","ee",1
"1975-1997","pl","fr",1
"1975-1997","pl","ie",1
"1975-1997","ba","hr",1
"1975-1997","ba","mt",1
"1975-1997","ba","tr",1
"1975-1997","hr","ba",1
"1975-1997","hr","mt",1
"1975-1997","hr","tr",1
"1975-1997","mt","ba",1
"1975-1997","mt","hr",1
"1975-1997","mt","tr",1
"1975-1997","tr","ba",1
"1975-1997","tr","hr",1
"1975-1997","tr","mt",1
"1975-1997","be","de",1
"1975-1997","be","gb",1
"1975-1997","be","mc",1
"1975-1997","de","be",1
"1975-1997","de","gb",1
"1975-1997","de","mc",1
"1975-1997","gb","be",1
"1975-1997","gb","de",1
"1975-1997","gb","mc",1
"1975-1997","mc","be",1
"1975-1997","mc","de",1
"1975-1997","mc","gb",1
"1975-1997","ch","il",1
"1975-1997","ch","nl",1
"1975-1997","ch","yu",1
"1975-1997","il","ch",1
"1975-1997","il","nl",1
"1975-1997","il","yu",1
"1975-1997","nl","ch",1
"1975-1997","nl","il",1
"1975-1997","nl","yu",1
"1975-1997","yu","ch",1
"1975-1997","yu","il",1
"1975-1997","yu","nl",1
"1975-1997","dk","is",1
"1975-1997","dk","se",1
"1975-1997","is","dk",1
"1975-1997","is","se",1
"1975-1997","se","dk",1
"1975-1997","se","is",1
"1975-1997","es","it",1
"1975-1997","es","pt",1
"1975-1997","it","es",1
"1975-1997","it","pt",1
"1975-1997","pt","es",1
"1975-1997","pt","it",1
"1975-1997","no","ru",1
"1975-1997","no","si",1
"1975-1997","ru","no",1
"1975-1997","ru","si",1
"1975-1997","si","no",1
"1975-1997","si","ru",1
"1975-1997","cy","gr",1
"1975-1997","gr","cy",1
"1975-1997","fi","hu",1
"1975-1997","hu","fi",1
"1998-2012","dk","ee",1
"1998-2012","dk","fi",1
"1998-2012","dk","is",1
"1998-2012","dk","lv",1
"1998-2012","dk","no",1
"1998-2012","dk","se",1
"1998-2012","ee","dk",1
"1998-2012","ee","fi",1
"1998-2012","ee","is",1
"1998-2012","ee","lv",1
"1998-2012","ee","no",1
"1998-2012","ee","se",1
"1998-2012","fi","dk",1
"1998-2012","fi","ee",1
"1998-2012","fi","is",1
"1998-2012","fi","lv",1
"1998-2012","fi","no",1
"1998-2012","fi","se",1
"1998-2012","is","dk",1
"1998-2012","is","ee",1
"1998-2012","is","fi",1
"1998-2012","is","lv",1
"1998-2012","is","no",1
"1998-2012","is","se",1
"1998-2012","lv","dk",1
"1998-2012","lv","ee",1
"1998-2012","lv","fi",1
"1998-2012","lv","is",1
"1998-2012","lv","no",1
"1998-2012","lv","se",1
