"period","group","country","code"
"1975-1997","G1","Austria","at"
"1975-1997","G1","Estonia","ee"
"1975-1997","G1","France","fr"
"1975-1997","G1","Ireland","ie"
"1975-1997","G1","Poland","pl"
"1975-1997","G2","Bosnia & Herzegovina","ba"
"1975-1997","G2","Croatia","hr"
"1975-1997","G2","Malta","mt"
"1975-1997","G2","Turkey","tr"
"1975-1997","G3","Belgium","be"
"1975-1997","G3","Germany","de"
"1975-1997","G3","United Kingdom","gb"
"1975-1997","G3","Monaco","mc"
"1975-1997","G4","Switzerland","ch"
"1975-1997","G4","Israel","il"
"1975-1997","G4","Netherlands","nl"
"1975-1997","G4","Yugoslavia","yu"
"1975-1997","G5","Denmark","dk"
"1975-1997","G5","Iceland","is"
"1975-1997","G5","Sweden","se"
"1975-1997","G6","Spain","es"
"1975-1997","G6","Italy","it"
"1975-1997","G6","Portugal","pt"
"1975-1997","G7","Norway","no"
"1975-1997","G7","Russia","ru"
"1975-1997","G7","Slovenia","si"
"1975-1997","G8","Cyprus","cy"
"1975-1997","G8","Greece","gr"
"1975-1997","G9","Finland","fi"
"1975-1997","G9","Hungary","hu"
"1975-1997","G10","Luxembourg","lu"
